line,statn_id,statn_nm,direction,time_band,day_type,headway_samples,p50_sec,p90_sec,mean_sec,std_sec,cv,over_1p5x_ratio
1호선,1001000119,광운대,상행,출근,평일,9,244,550,302.0,132.3,0.438,0.222
1호선,1001000119,광운대,상행,퇴근,평일,11,229,424,287.0,131.0,0.456,0.273
1호선,1001000119,광운대,하행,점심,평일,9,413,644,354.0,215.1,0.607,0.111
1호선,1001000119,광운대,하행,출근,평일,16,205,523,260.0,176.3,0.679,0.438
1호선,1001000119,광운대,하행,퇴근,평일,11,247,353,275.0,119.1,0.433,0.091
1호선,1001000120,석계,상행,점심,평일,10,245,487,320.0,176.4,0.551,0.3
1호선,1001000120,석계,상행,출근,평일,10,244,475,293.0,124.7,0.425,0.2
1호선,1001000120,석계,상행,퇴근,평일,11,215,602,299.0,167.9,0.561,0.273
1호선,1001000120,석계,하행,점심,평일,9,296,840,372.0,211.9,0.569,0.222
1호선,1001000120,석계,하행,출근,평일,15,257,430,264.0,100.0,0.379,0.2
1호선,1001000120,석계,하행,퇴근,평일,12,271,447,286.0,125.7,0.439,0.167
1호선,1001000121,신이문,상행,점심,평일,11,261,469,322.0,170.2,0.528,0.273
1호선,1001000121,신이문,상행,출근,평일,11,234,486,282.0,112.9,0.4,0.182
1호선,1001000121,신이문,상행,퇴근,평일,12,209,603,298.0,171.6,0.576,0.333
1호선,1001000121,신이문,하행,점심,평일,8,276,854,382.0,226.1,0.592,0.25
1호선,1001000121,신이문,하행,출근,평일,15,241,456,264.0,103.1,0.39,0.2
1호선,1001000121,신이문,하행,퇴근,평일,13,275,419,281.0,116.3,0.414,0.154
1호선,1001000122,외대앞,상행,점심,평일,10,244,484,318.0,181.1,0.57,0.3
1호선,1001000122,외대앞,상행,출근,평일,10,221,364,268.0,101.5,0.379,0.2
1호선,1001000122,외대앞,상행,퇴근,평일,11,214,599,303.0,164.6,0.543,0.273
1호선,1001000122,외대앞,하행,점심,평일,9,287,849,385.0,207.3,0.539,0.222
1호선,1001000122,외대앞,하행,출근,평일,15,233,443,266.0,101.4,0.382,0.2
1호선,1001000122,외대앞,하행,퇴근,평일,12,286,359,289.0,101.8,0.352,0.083
1호선,1001000123,회기,상행,점심,평일,10,231,480,317.0,164.2,0.519,0.3
1호선,1001000123,회기,상행,출근,평일,12,237,510,318.0,206.2,0.648,0.25
1호선,1001000123,회기,상행,퇴근,평일,11,233,586,303.0,157.2,0.518,0.273
1호선,1001000123,회기,하행,점심,평일,9,275,857,384.0,216.0,0.562,0.222
1호선,1001000123,회기,하행,출근,평일,16,238,433,258.0,96.3,0.373,0.125
1호선,1001000123,회기,하행,퇴근,평일,11,298,401,299.0,108.4,0.362,0.091
1호선,1001000124,청량리,상행,점심,평일,16,204,420,237.0,123.4,0.521,0.313
1호선,1001000124,청량리,상행,출근,평일,19,220,305,209.0,116.2,0.556,0.053
1호선,1001000124,청량리,상행,퇴근,평일,17,223,350,200.0,116.7,0.585,0.118
1호선,1001000124,청량리,하행,점심,평일,11,256,428,329.0,186.6,0.567,0.273
1호선,1001000124,청량리,하행,출근,평일,19,206,299,217.0,45.9,0.211,0.0
1호선,1001000124,청량리,하행,퇴근,평일,13,249,333,258.0,63.6,0.247,0.0
1호선,1001000125,제기동,상행,점심,평일,15,221,434,239.0,125.8,0.526,0.2
1호선,1001000125,제기동,상행,출근,평일,19,188,328,208.0,117.5,0.564,0.211
1호선,1001000125,제기동,상행,퇴근,평일,18,205,314,197.0,105.3,0.535,0.167
1호선,1001000125,제기동,하행,점심,평일,10,238,391,278.0,84.3,0.304,0.2
1호선,1001000125,제기동,하행,출근,평일,18,197,285,216.0,48.3,0.223,0.056
1호선,1001000125,제기동,하행,퇴근,평일,14,248,322,255.0,66.8,0.261,0.071
1호선,1001000126,신설동,상행,점심,평일,11,291,528,299.0,148.1,0.495,0.182
1호선,1001000126,신설동,상행,출근,평일,15,206,323,239.0,102.3,0.429,0.267
1호선,1001000126,신설동,상행,퇴근,평일,14,215,306,241.0,68.9,0.286,0.071
1호선,1001000126,신설동,하행,점심,평일,10,245,399,278.0,95.2,0.342,0.2
1호선,1001000126,신설동,하행,출근,평일,19,210,269,216.0,42.2,0.195,0.0
1호선,1001000126,신설동,하행,퇴근,평일,13,264,318,260.0,59.8,0.23,0.0
1호선,1001000127,동묘앞,상행,점심,평일,10,197,410,277.0,126.2,0.456,0.5
1호선,1001000127,동묘앞,상행,출근,평일,17,195,353,235.0,99.4,0.423,0.235
1호선,1001000127,동묘앞,상행,퇴근,평일,15,221,308,239.0,67.8,0.284,0.067
1호선,1001000127,동묘앞,하행,점심,평일,11,249,404,283.0,97.3,0.344,0.182
1호선,1001000127,동묘앞,하행,출근,평일,18,201,289,219.0,56.4,0.257,0.056
1호선,1001000127,동묘앞,하행,퇴근,평일,13,264,335,262.0,63.6,0.243,0.0
1호선,1001000128,동대문,상행,점심,평일,11,265,438,290.0,125.2,0.431,0.273
1호선,1001000128,동대문,상행,출근,평일,18,189,341,231.0,99.0,0.429,0.222
1호선,1001000128,동대문,상행,퇴근,평일,14,234,303,242.0,64.2,0.265,0.071
1호선,1001000128,동대문,하행,점심,평일,11,237,410,282.0,93.3,0.331,0.182
1호선,1001000128,동대문,하행,출근,평일,18,208,306,220.0,60.5,0.275,0.056
1호선,1001000128,동대문,하행,퇴근,평일,13,261,330,264.0,60.1,0.227,0.0
1호선,1001000129,종로5가,상행,점심,평일,11,267,440,291.0,120.3,0.414,0.273
1호선,1001000129,종로5가,상행,출근,평일,17,195,337,236.0,98.4,0.417,0.235
