line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
1호선,2026-06-24T18:23:00.000Z,207,55,-32323.1
2호선,2026-06-24T07:49:00.000Z,4,4,-32285.8
9호선,2026-06-16T17:42:00.000Z,43,25,-32141.7
9호선,2026-06-24T07:49:00.000Z,23,5,-32211.1
1호선,2026-06-24T12:52:00.000Z,109,32,-32329.0
9호선,2026-06-16T16:37:00.000Z,52,16,-30293.7
9호선,2026-06-24T18:19:00.000Z,76,28,-32327.3
1호선,2026-06-24T08:17:00.000Z,131,45,-32305.8
2호선,2026-06-24T18:52:00.000Z,116,42,-32348.1
1호선,2026-06-24T08:30:00.000Z,253,48,-32304.5
9호선,2026-06-16T16:47:00.000Z,66,20,-30591.1
9호선,2026-06-24T07:56:00.000Z,93,30,-32317.9
9호선,2026-06-24T12:51:00.000Z,37,19,-32306.6
9호선,2026-06-24T08:34:00.000Z,71,29,-32313.9
9호선,2026-06-16T17:45:00.000Z,37,26,-32320.4
9호선,2026-06-16T16:25:00.000Z,38,16,-29937.1
9호선,2026-06-24T08:16:00.000Z,82,33,-32319.4
9호선,2026-06-16T16:46:00.000Z,42,17,-30571.7
2호선,2026-06-24T08:05:00.000Z,177,53,-32338.3
1호선,2026-06-24T08:58:00.000Z,111,46,-32361.7
2호선,2026-06-24T08:35:00.000Z,130,47,-32333.0
9호선,2026-06-24T07:58:00.000Z,82,31,-32316.8
2호선,2026-06-24T08:40:00.000Z,151,50,-32332.9
9호선,2026-06-24T08:35:00.000Z,86,31,-32326.4
2호선,2026-06-24T18:41:00.000Z,154,45,-32331.2
9호선,2026-06-16T17:32:00.000Z,25,23,-31539.6
9호선,2026-06-16T16:28:00.000Z,70,23,-30021.4
2호선,2026-06-24T18:40:00.000Z,106,43,-32341.8
9호선,2026-06-24T07:51:00.000Z,91,32,-32332.8
9호선,2026-06-24T12:03:00.000Z,48,19,-32337.3
2호선,2026-06-24T12:20:00.000Z,53,32,-32353.4
1호선,2026-06-24T07:49:00.000Z,67,22,-32218.8
2호선,2026-06-24T12:05:00.000Z,54,32,-32348.2
9호선,2026-06-24T18:09:00.000Z,46,20,-32323.9
9호선,2026-06-24T17:58:00.000Z,27,15,-32283.9
9호선,2026-06-24T18:12:00.000Z,93,29,-32328.4
9호선,2026-06-24T08:21:00.000Z,104,34,-32331.5
9호선,2026-06-24T18:58:00.000Z,68,38,-32351.0
